"ASSET_SYMBOL","TRADE_DATE","OPEN_PRICE","HIGH_PRICE","LOW_PRICE","CLOSE_PRICE","RSI_14"
"GC=F",2026-01-27 00:00:00.000000000,5079.9,5079.9,5079.9,5079.9,100
"GC=F",2026-01-28 00:00:00.000000000,5301.6,5301.6,5301.6,5301.6,100
"GC=F",2026-01-29 00:00:00.000000000,5415.7,5586.2,5097.5,5318.4,100
"GC=F",2026-01-30 00:00:00.000000000,5376.4,5440.5,4700,4713.9,25.69
"GC=F",2026-02-02 00:00:00.000000000,4807.7,4855.8,4400,4622.5,22.92
"GC=F",2026-02-03 00:00:00.000000000,4680,4984.6,4674.3,4903.7,43.22
"GC=F",2026-02-04 00:00:00.000000000,4923.3,5082.2,4897.9,4920.4,44.16
"GC=F",2026-02-05 00:00:00.000000000,5008.7,5012.3,4786,4861.4,41.54
"GC=F",2026-02-06 00:00:00.000000000,4762,4958.5,4655,4951.2,46.72
"GC=F",2026-02-09 00:00:00.000000000,5017.4,5065.7,4979.1,5050.9,51.83
"GC=F",2026-02-10 00:00:00.000000000,5013.5,5029,5002.7,5003.8,49.42
"GC=F",2026-02-11 00:00:00.000000000,5049.9,5111.3,5041.3,5071.6,52.82
"GC=F",2026-02-12 00:00:00.000000000,5060.4,5078.1,4892,4923.7,45.62
"GC=F",2026-02-13 00:00:00.000000000,4953,5043.9,4946.2,5022,50.45
"GC=F",2026-02-17 00:00:00.000000000,5020,5020,4847.8,4882.9,44.43
"GC=F",2026-02-18 00:00:00.000000000,4872.2,4987,4869.5,4986.5,49.28
"GC=F",2026-02-19 00:00:00.000000000,5014.7,5014.7,4975.9,4975.9,48.82
"GC=F",2026-02-20 00:00:00.000000000,5039.5,5072.7,5039.5,5059.3,52.64
"GC=F",2026-02-23 00:00:00.000000000,5120.3,5211.6,5120.3,5204.7,58.47
"GC=F",2026-02-24 00:00:00.000000000,5158.8,5159,5112.7,5155.8,55.97
"GC=F",2026-02-25 00:00:00.000000000,5166,5206.4,5166,5206.4,57.97
"GC=F",2026-02-26 00:00:00.000000000,5177.2,5199.2,5143.9,5176.5,56.34
"GC=F",2026-02-27 00:00:00.000000000,5186.7,5280,5176.7,5230.5,58.6
"GC=F",2026-03-02 00:00:00.000000000,5346.6,5405,5266.3,5294.4,61.17
"GC=F",2026-03-03 00:00:00.000000000,5298.7,5303.8,5023,5107.4,51.18
"GC=F",2026-03-04 00:00:00.000000000,5130.7,5180.2,5117.2,5120.2,51.76
"GC=F",2026-03-05 00:00:00.000000000,5169.5,5169.5,5054.7,5065.3,49.07
"GC=F",2026-03-06 00:00:00.000000000,5121,5146.1,5076.1,5146.1,52.95
"GC=F",2026-03-09 00:00:00.000000000,5155,5160.6,5077.7,5091.5,50.17
"GC=F",2026-03-10 00:00:00.000000000,5138.2,5229.7,5137.6,5229.7,56.41
"GC=F",2026-03-11 00:00:00.000000000,5190.8,5191.3,5167.4,5167.4,53.18
"GC=F",2026-03-12 00:00:00.000000000,5137.2,5137.2,5115.8,5115.8,50.59
"GC=F",2026-03-13 00:00:00.000000000,5089.6,5117,5009.5,5052.5,47.53
"GC=F",2026-03-16 00:00:00.000000000,5001.6,5010.6,4994,4994,44.84
"GC=F",2026-03-17 00:00:00.000000000,5017.6,5017.6,4994.2,5001,45.24
"GC=F",2026-03-18 00:00:00.000000000,4949.6,4949.6,4821.7,4889.9,40.25
"GC=F",2026-03-19 00:00:00.000000000,4830.3,4830.3,4554,4600.7,30.74
"GC=F",2026-03-20 00:00:00.000000000,4686.9,4686.9,4570.4,4570.4,29.94
"GC=F",2026-03-23 00:00:00.000000000,4353,4480.4,4100.8,4404.1,25.96
"GC=F",2026-03-24 00:00:00.000000000,4414.8,4485.6,4306.3,4460.9,29.41
"SI=F",2026-01-27 00:00:00.000000000,104.4,110.52,103.1,105.52,0
"SI=F",2026-01-28 00:00:00.000000000,114.57,114.57,112.74,113.11,5.76
"SI=F",2026-01-29 00:00:00.000000000,116.89,121.3,107.97,114.04,6.46
"SI=F",2026-01-30 00:00:00.000000000,116.86,117.79,76.03,78.29,4.93
"SI=F",2026-02-02 00:00:00.000000000,81,84.39,73.36,76.78,4.87
"SI=F",2026-02-03 00:00:00.000000000,80.12,88.19,80,83.04,9.21
"SI=F",2026-02-04 00:00:00.000000000,87.11,90.97,83.62,84.17,10.01
"SI=F",2026-02-05 00:00:00.000000000,88.44,88.44,71.08,76.53,9.41
"SI=F",2026-02-06 00:00:00.000000000,70.4,77.32,68.71,76.74,9.56
